Transform,Detail,Approximate,Metric,Value
1,3,,4,0.0047896
1,3,,5,0.8305
1,3,,6,0.0027647
1,3,,7,0.38449
1,3,,8,0.020332
1,4,,1,0.69553
1,4,,2,0.48121
1,4,,3,0.77834
1,4,,4,0.0060512
1,4,,5,0.87371
1,4,,6,0.0033134
1,4,,7,0.90599
1,4,,8,0.020519
1,5,,1,0.44858
1,5,,2,0.42647
1,5,,3,0.5379
1,5,,4,0.0047506
1,5,,5,0.82727
1,5,,6,0.0036192
1,5,,7,0.36296
1,5,,8,0.020478
1,6,,1,0.48928
1,6,,2,0.44117
1,6,,3,0.66867
1,6,,4,0.0055914
1,6,,5,0.8324
1,6,,6,0.0029793
1,6,,7,0.68648
1,6,,8,0.020511
1,7,,1,0.45659
1,7,,2,0.44443
1,7,,3,0.61525
1,7,,4,0.005271
1,7,,5,0.82855
1,7,,6,0.0028532
1,7,,7,0.52288
1,7,,8,0.02044
1,1,,1,0.55116
1,1,,2,0.45502
1,1,,3,0.72315
1,1,,4,0.0058382
1,1,,5,0.83906
1,1,,6,0.0030556
1,1,,7,0.64668
1,1,,8,0.0043267
1,2,,1,0.52424
1,2,,2,0.47572
1,2,,3,0.51588
1,2,,4,0.0056223
1,2,,5,0.83519
1,2,,6,0.004165
1,2,,7,0.5912
1,2,,8,0.0043727
1,3,,1,0.52438
1,3,,2,0.45354
1,3,,3,0.65741
1,3,,4,0.0054659
1,3,,5,0.83675
1,3,,6,0.0030806
1,3,,7,0.45747
1,3,,8,0.0042809
1,4,,1,0.75889
1,4,,2,0.50868
1,4,,3,0.85201
1,4,,4,0.0064768
1,4,,5,0.87309
1,4,,6,0.0029976
1,4,,7,0.95533
1,4,,8,0.0043322
1,5,,1,0.51824
1,5,,2,0.47767
1,5,,3,0.63284
1,5,,4,0.0055133
1,5,,5,0.83509
1,5,,6,0.0038789
1,5,,7,0.52599
1,5,,8,0.004328
1,6,,1,0.55421
1,6,,2,0.47438
1,6,,3,0.63039
1,6,,4,0.0059416
1,6,,5,0.83928
1,6,,6,0.0031386
1,6,,7,0.73713
1,6,,8,0.0043289
1,7,,1,0.53286
1,7,,2,0.45341
1,7,,3,0.69653
1,7,,4,0.0057364
1,7,,5,0.83756
1,7,,6,0.0032035
1,7,,7,0.59608
1,7,,8,0.0043269
1,1,,1,0.12425
1,1,,2,0.24023
1,1,,3,0.49198
1,1,,4,0.0035016
1,1,,5,0.80377
1,1,,6,0.0021709
1,1,,7,0.16709
1,1,,8,0.00094653
1,2,,1,0.13339
1,2,,2,0.27153
1,2,,3,0.48138
1,2,,4,0.0036091
1,2,,5,0.80419
1,2,,6,0.0039885
1,2,,7,0.20183
1,2,,8,0.0010582
1,3,,1,0.12427
1,3,,2,0.20237
1,3,,3,0.42228
1,3,,4,0.0025652
1,3,,5,0.80366
1,3,,6,0.0016362
1,3,,7,0.041688
1,3,,8,0.00083703
1,4,,1,0.53873
1,4,,2,0.40083
1,4,,3,0.7552
1,4,,4,0.0049908
1,4,,5,0.86762
1,4,,6,0.0031967
1,4,,7,0.46619
1,4,,8,0.0009664
1,5,,1,0.096214
1,5,,2,0.30141
1,5,,3,0.43589
1,5,,4,0.0027078
1,5,,5,0.80308
1,5,,6,0.0035858
1,5,,7,0.06393
1,5,,8,0.00094343
1,6,,1,0.13778
1,6,,2,0.20216
1,6,,3,0.51366
1,6,,4,0.0034801
1,6,,5,0.80444
1,6,,6,0.0025017
1,6,,7,0.16685
1,6,,8,0.00095349
1,7,,1,0.097372
1,7,,2,0.4279
1,7,,3,0.47588
1,7,,4,0.0031198
1,7,,5,0.80304
1,7,,6,0.0027431
1,7,,7,0.093235
1,7,,8,0.00094579
1,1,,1,0.53987
1,1,,2,0.41055
1,1,,3,0.63712
1,1,,4,0.0053392
1,1,,5,0.83082
1,1,,6,0.0029819
1,1,,7,0.52098
1,1,,8,0.0059678
1,2,,1,0.51337
1,2,,2,0.55591
1,2,,3,0.60574
1,2,,4,0.0049885
1,2,,5,0.82776
1,2,,6,0.004386
1,2,,7,0.42444
1,2,,8,0.0060118
1,3,,1,0.53549
1,3,,2,0.4108
1,3,,3,0.61303
1,3,,4,0.0051358
1,3,,5,0.83044
1,3,,6,0.0030267
1,3,,7,0.4187
1,3,,8,0.0059239
1,4,,1,0.7312
1,4,,2,0.4787
